step,moves,tau,entropy,gini,drift
1,871,0.357230,1.101502,0.480936,0.327875
2,42,0.501749,0.914943,0.405241,0.205048
3,8,0.570389,0.776261,0.346949,0.137582
4,2,0.606505,0.692647,0.311302,0.094993
5,1,0.626128,0.649874,0.293014,0.068835
6,3,0.638304,0.624099,0.281957,0.052045
7,0,0.646483,0.602559,0.272569,0.040617
8,0,0.651962,0.589730,0.266915,0.032739
9,2,0.656176,0.580281,0.262847,0.025752
10,0,0.659297,0.572901,0.259569,0.021592
11,0,0.661752,0.564720,0.256122,0.018046
12,1,0.663752,0.559621,0.253995,0.015262
