step,moves,tau,entropy,gini,drift
1,1161,0.379057,1.025625,0.453574,0.353854
2,292,0.510023,0.778129,0.353520,0.212854
3,157,0.562743,0.583999,0.267712,0.157476
4,128,0.597219,0.479753,0.220622,0.104037
5,116,0.618701,0.429476,0.197675,0.072349
6,93,0.632360,0.396001,0.182551,0.056321
7,85,0.642199,0.369690,0.170731,0.046660
8,78,0.650222,0.350613,0.162124,0.039190
9,57,0.656817,0.334327,0.154813,0.033868
10,56,0.662059,0.320423,0.148484,0.030538
11,60,0.666920,0.307847,0.142744,0.028127
12,58,0.670843,0.294659,0.136816,0.027312
