step,moves,tau,entropy,gini,drift
1,3464,0.250000,1.082431,0.476079,0.000000
2,3827,0.428571,0.719772,0.326433,0.000000
3,3857,0.625000,0.583601,0.256875,0.000000
4,3673,0.714286,0.573518,0.250008,0.000000
5,3576,0.714286,0.499766,0.218599,0.000000
6,3566,0.750000,0.496106,0.216442,0.000000
7,3938,0.800000,0.544728,0.236432,0.000000
8,3606,0.714286,0.411028,0.180360,0.000000
9,3694,0.833333,0.505285,0.219145,0.000000
10,3790,0.750000,0.443857,0.194106,0.000000
11,3612,0.800000,0.440413,0.192089,0.000000
12,3606,0.800000,0.424104,0.185106,0.000000
