step,moves,tau,entropy,gini,drift
1,528,0.360556,1.106285,0.483528,0.323898
2,27,0.502619,0.933921,0.414959,0.202861
3,6,0.568482,0.796375,0.357026,0.138244
4,1,0.604897,0.719385,0.324451,0.094319
5,1,0.624587,0.677123,0.306403,0.069323
6,0,0.636654,0.652164,0.295501,0.052182
7,2,0.644616,0.631715,0.286681,0.040453
8,1,0.650362,0.619870,0.281486,0.032269
9,1,0.654459,0.609797,0.277059,0.026038
10,0,0.657569,0.602380,0.273719,0.021104
11,0,0.660016,0.595720,0.270874,0.018035
12,0,0.662065,0.591431,0.268964,0.015070
