step,moves,tau,entropy,gini,drift
1,67,0.381050,1.044109,0.459979,0.336976
2,21,0.506190,0.796355,0.359124,0.207704
3,11,0.558716,0.581940,0.264324,0.160615
4,7,0.597411,0.451238,0.205850,0.103653
5,5,0.620714,0.404151,0.185437,0.070864
6,7,0.634264,0.368273,0.169564,0.054896
7,6,0.644550,0.345817,0.159996,0.043680
8,3,0.651657,0.332153,0.153828,0.037685
9,4,0.658729,0.317034,0.147568,0.032346
10,3,0.663083,0.303270,0.141441,0.027906
11,2,0.667975,0.292566,0.136306,0.026444
12,2,0.672620,0.282409,0.131750,0.024384
13,3,0.676349,0.272321,0.127200,0.022985
14,2,0.679937,0.267209,0.124735,0.020733
15,6,0.682257,0.255691,0.119447,0.023437
16,4,0.686104,0.246067,0.114884,0.023697
