step,moves,tau,entropy,gini,drift
1,2156,0.275484,0.958723,0.425589,0.364607
2,677,0.443596,0.693492,0.314590,0.235588
3,227,0.529533,0.523433,0.239586,0.153538
4,137,0.585409,0.433762,0.199465,0.098058
5,110,0.611643,0.389580,0.179238,0.071551
6,90,0.629268,0.355374,0.164063,0.056994
7,68,0.640841,0.335145,0.155065,0.048484
8,60,0.649572,0.318101,0.147383,0.041337
9,51,0.656326,0.302349,0.140277,0.037728
10,55,0.662317,0.287893,0.133716,0.035517
11,55,0.667686,0.274804,0.127796,0.034535
12,48,0.672992,0.263534,0.122677,0.034342
