step,moves,tau,entropy,gini,drift
1,98,0.250000,1.014670,0.448081,0.000000
2,95,0.400000,0.678594,0.308912,0.000000
3,101,0.625000,0.525658,0.235329,0.000000
4,97,0.750000,0.578435,0.252570,0.000000
5,99,0.714286,0.543150,0.239229,0.000000
6,102,0.714286,0.556997,0.246066,0.000000
7,104,0.714286,0.444002,0.198558,0.000000
8,100,0.750000,0.493409,0.218353,0.000000
9,102,0.750000,0.509527,0.222395,0.000000
10,102,0.750000,0.479141,0.210550,0.000000
11,103,0.800000,0.478671,0.209712,0.000000
12,97,0.750000,0.364135,0.161925,0.000000
13,99,0.833333,0.394777,0.172876,0.000000
14,99,0.833333,0.435023,0.188577,0.000000
15,100,0.800000,0.409100,0.178830,0.000000
16,101,0.833333,0.435166,0.191170,0.000000
