step,moves,tau,entropy,gini,drift
1,465,0.276238,1.001659,0.443466,0.359667
2,132,0.435167,0.754388,0.341033,0.230348
3,45,0.520314,0.571032,0.261479,0.156610
4,21,0.577664,0.469537,0.216198,0.100933
5,15,0.606454,0.423294,0.194670,0.069363
6,15,0.624216,0.390251,0.179534,0.054842
7,10,0.636257,0.365520,0.168722,0.045483
8,18,0.644684,0.343214,0.158843,0.044224
9,11,0.653413,0.326225,0.151256,0.040658
10,12,0.659754,0.310835,0.144301,0.038126
11,7,0.665703,0.297258,0.138076,0.034832
12,9,0.670501,0.285171,0.132327,0.035599
13,10,0.675929,0.274726,0.127365,0.032015
14,8,0.680392,0.264720,0.122811,0.030632
15,3,0.684176,0.254899,0.118304,0.029720
16,4,0.687765,0.246633,0.114369,0.027854
