step,moves,tau,entropy,gini,drift
1,81,0.377992,1.068542,0.469725,0.341750
2,15,0.504274,0.809334,0.365111,0.213966
3,10,0.556418,0.592343,0.270738,0.158740
4,10,0.594402,0.439327,0.202399,0.116815
5,10,0.623787,0.382359,0.177229,0.075217
6,13,0.638501,0.348132,0.161509,0.061193
7,11,0.650807,0.309790,0.144856,0.050742
8,5,0.661153,0.284593,0.133076,0.041722
9,6,0.669640,0.267620,0.125467,0.036131
10,2,0.676173,0.250694,0.117708,0.034996
11,5,0.682219,0.242675,0.114003,0.031379
12,2,0.686645,0.233640,0.109880,0.030881
13,1,0.690237,0.226716,0.106699,0.029585
14,2,0.693645,0.222990,0.104902,0.025011
15,2,0.696350,0.219077,0.103090,0.022877
16,6,0.698527,0.209652,0.098736,0.022896
