step,moves,tau,entropy,gini,drift
1,187,0.277277,0.989316,0.438274,0.351546
2,46,0.441532,0.760088,0.342920,0.222474
3,11,0.524294,0.549560,0.251406,0.148346
4,12,0.575342,0.456106,0.208730,0.096419
5,11,0.603868,0.413117,0.189830,0.070176
6,8,0.622273,0.374346,0.172904,0.055733
7,12,0.633660,0.344454,0.159559,0.048878
8,7,0.643899,0.310631,0.144712,0.046313
9,6,0.651982,0.293433,0.136379,0.044296
10,6,0.659689,0.274714,0.127727,0.037080
11,6,0.665312,0.260762,0.121416,0.038088
12,4,0.671621,0.250769,0.116728,0.035234
13,1,0.676876,0.245681,0.114442,0.032638
14,1,0.681228,0.238227,0.110881,0.030519
15,6,0.685068,0.224728,0.104792,0.032071
16,4,0.689022,0.219616,0.102356,0.036787
