step,moves,tau,entropy,gini,drift
1,1143,0.373888,1.055335,0.463540,0.354176
2,269,0.505116,0.802413,0.362448,0.214190
3,125,0.558249,0.615472,0.280954,0.155850
4,120,0.591883,0.509548,0.233779,0.105283
5,119,0.612268,0.454542,0.208976,0.075175
6,95,0.626472,0.414273,0.190925,0.059631
7,79,0.637263,0.387196,0.178893,0.047889
8,65,0.645460,0.367633,0.170062,0.040314
9,63,0.652183,0.352147,0.163107,0.034609
10,48,0.657732,0.336415,0.156002,0.031002
11,37,0.662440,0.325304,0.150855,0.027719
12,39,0.666513,0.311823,0.144630,0.026262
