step,moves,tau,entropy,gini,drift
1,802,0.374732,1.053420,0.463285,0.348710
2,196,0.503915,0.811716,0.366384,0.211288
3,89,0.557954,0.621683,0.283382,0.157491
4,76,0.592007,0.506580,0.232247,0.107458
5,79,0.614303,0.441630,0.203255,0.077214
6,89,0.629151,0.402512,0.185763,0.060221
7,61,0.640644,0.376791,0.174102,0.048358
8,48,0.648635,0.356950,0.165194,0.040902
9,44,0.655444,0.340095,0.157522,0.035087
10,43,0.661199,0.322269,0.149259,0.032413
11,47,0.666241,0.307834,0.142790,0.030421
12,33,0.670950,0.297098,0.137996,0.026814
