step,moves,tau,entropy,gini,drift
1,2367,0.150351,0.915137,0.406733,0.313770
2,921,0.332201,0.647081,0.292069,0.232482
3,209,0.462987,0.509856,0.232355,0.155502
4,29,0.535692,0.456330,0.209343,0.109790
5,10,0.574639,0.431126,0.198590,0.087434
6,4,0.601938,0.409096,0.188993,0.068785
7,3,0.621524,0.390141,0.180473,0.055015
8,3,0.635989,0.379557,0.175657,0.044251
9,6,0.646584,0.368087,0.170289,0.035885
10,3,0.654095,0.357712,0.165762,0.029987
11,2,0.660116,0.352255,0.163235,0.025396
12,4,0.664561,0.345401,0.160312,0.021943
13,5,0.668230,0.339707,0.157740,0.019489
14,3,0.671342,0.336197,0.156103,0.017134
15,5,0.673881,0.330639,0.153699,0.015048
16,5,0.676008,0.327884,0.152447,0.013941
