step,moves,tau,entropy,gini,drift
1,94,0.250000,1.054149,0.470028,0.000000
2,91,0.428571,0.692978,0.314078,0.000000
3,106,0.625000,0.554384,0.247776,0.000000
4,107,0.714286,0.461258,0.208228,0.000000
5,105,0.800000,0.531306,0.234036,0.000000
6,106,0.750000,0.476615,0.213320,0.000000
7,101,0.750000,0.450835,0.198710,0.000000
8,94,0.750000,0.367446,0.162803,0.000000
9,100,0.833333,0.395451,0.173096,0.000000
10,102,0.833333,0.415750,0.183534,0.000000
11,100,0.800000,0.414442,0.179253,0.000000
12,104,0.833333,0.437444,0.190609,0.000000
13,106,0.800000,0.394895,0.173400,0.000000
14,105,0.833333,0.375977,0.167201,0.000000
15,104,0.833333,0.363425,0.160074,0.000000
16,98,0.833333,0.350321,0.154402,0.000000
