step,moves,tau,entropy,gini,drift
1,509,0.376502,1.047814,0.460685,0.348055
2,114,0.504607,0.806210,0.363505,0.210480
3,67,0.557710,0.612679,0.279280,0.155816
4,70,0.591717,0.493523,0.226176,0.108173
5,39,0.615486,0.439271,0.202128,0.074332
6,43,0.629361,0.404471,0.186637,0.057413
7,25,0.640081,0.383366,0.177180,0.044202
8,26,0.647225,0.363893,0.168286,0.038249
9,35,0.653697,0.344452,0.159476,0.035151
10,22,0.659215,0.326368,0.151355,0.032181
11,23,0.664899,0.313028,0.145272,0.028467
12,29,0.668891,0.301019,0.139705,0.027466
13,23,0.673313,0.289403,0.134373,0.025602
14,21,0.677117,0.279085,0.129669,0.024631
15,18,0.680662,0.269803,0.125391,0.023369
16,17,0.683681,0.261541,0.121638,0.022158
