step,moves,tau,entropy,gini,drift
1,422,0.133378,0.818066,0.368872,0.276362
2,236,0.329910,0.494652,0.227643,0.220230
3,79,0.461305,0.372653,0.171779,0.150385
4,44,0.540165,0.304054,0.140748,0.120563
5,24,0.579262,0.273204,0.126685,0.095666
6,22,0.608767,0.240536,0.111599,0.081168
7,13,0.631904,0.218460,0.101153,0.069541
8,15,0.651902,0.205125,0.095072,0.063720
9,12,0.670785,0.194773,0.090469,0.052945
10,15,0.688407,0.180355,0.084048,0.042842
11,16,0.699150,0.175890,0.082000,0.031936
12,14,0.704887,0.172640,0.080562,0.028737
13,17,0.709162,0.167028,0.078100,0.027357
14,11,0.712187,0.164400,0.076852,0.024300
15,14,0.714948,0.157531,0.073636,0.022856
16,11,0.717122,0.152328,0.071365,0.021779
