step,moves,tau,entropy,gini,drift
1,910,0.272127,0.979421,0.432529,0.362143
2,282,0.439564,0.709736,0.320691,0.233575
3,65,0.527662,0.513758,0.235248,0.154490
4,44,0.584413,0.427917,0.196907,0.097275
5,42,0.613130,0.378505,0.174474,0.070695
6,25,0.630724,0.347686,0.160668,0.054986
7,28,0.642792,0.323837,0.150218,0.046320
8,23,0.651508,0.307514,0.142934,0.042154
9,26,0.659011,0.293026,0.136321,0.040119
10,18,0.665268,0.281346,0.131009,0.036126
11,17,0.670414,0.267776,0.124789,0.034557
12,14,0.675252,0.258181,0.120294,0.034291
13,9,0.679718,0.252724,0.117838,0.030437
14,10,0.683511,0.243769,0.113743,0.029078
15,12,0.687197,0.235829,0.110112,0.029210
16,10,0.690918,0.231117,0.107978,0.028379
