step,moves,tau,entropy,gini,drift
1,951,0.136424,0.841365,0.377530,0.271538
2,540,0.319609,0.556275,0.254301,0.213848
3,219,0.448603,0.435047,0.199675,0.157918
4,78,0.524061,0.357794,0.164938,0.118229
5,49,0.565338,0.329973,0.152345,0.093751
6,36,0.591911,0.301411,0.138855,0.076749
7,24,0.613837,0.278941,0.129101,0.062304
8,27,0.628924,0.266048,0.123123,0.056582
9,22,0.644253,0.252620,0.116998,0.048538
10,23,0.658034,0.242775,0.112526,0.043813
11,17,0.669150,0.232936,0.108108,0.038006
12,16,0.679897,0.224362,0.104281,0.031366
13,22,0.688113,0.213102,0.099071,0.026502
14,14,0.694710,0.204794,0.095407,0.024496
15,13,0.699727,0.202034,0.094240,0.021112
16,22,0.702898,0.195874,0.091290,0.021072
