step,moves,tau,entropy,gini,drift
1,552,0.377392,1.028127,0.453239,0.351139
2,137,0.508693,0.760598,0.345229,0.213712
3,69,0.563882,0.573925,0.262910,0.155180
4,65,0.599188,0.467931,0.215397,0.104203
5,51,0.622805,0.406070,0.187263,0.075677
6,45,0.637896,0.371721,0.171688,0.057389
7,38,0.648761,0.351409,0.162471,0.044200
8,36,0.656636,0.328073,0.152097,0.038905
9,25,0.663480,0.311283,0.144305,0.034159
10,24,0.669540,0.296127,0.137467,0.031877
11,29,0.674615,0.282317,0.131069,0.030551
12,21,0.679258,0.269321,0.125223,0.028890
13,25,0.683374,0.254997,0.118665,0.028116
14,25,0.687546,0.244235,0.113621,0.027234
15,31,0.690764,0.232275,0.108136,0.028058
16,39,0.694446,0.221425,0.103091,0.030152
