step,moves,tau,entropy,gini,drift
1,1443,0.274452,0.973373,0.430452,0.363400
2,453,0.441389,0.706664,0.319104,0.235988
3,149,0.528616,0.528893,0.241416,0.153298
4,94,0.582531,0.442624,0.203383,0.096831
5,74,0.609984,0.404031,0.186039,0.068987
6,58,0.626229,0.375689,0.173319,0.054433
7,41,0.637747,0.350665,0.161994,0.047013
8,48,0.647137,0.329736,0.152620,0.042833
9,47,0.654620,0.308163,0.142918,0.039666
10,46,0.661382,0.293914,0.136401,0.038372
11,42,0.667246,0.281281,0.130560,0.037957
12,33,0.672352,0.270846,0.125710,0.035289
13,31,0.677061,0.258158,0.119727,0.035176
14,34,0.681787,0.247173,0.114617,0.034976
15,33,0.686012,0.234555,0.109008,0.034277
16,34,0.690203,0.222239,0.103283,0.035957
