step,moves,tau,entropy,gini,drift
1,961,0.132052,0.863747,0.387195,0.274470
2,591,0.310072,0.545458,0.250234,0.220496
3,212,0.444003,0.425122,0.195282,0.159606
4,77,0.525237,0.368181,0.169833,0.116909
5,37,0.564716,0.339138,0.156850,0.094004
6,30,0.592285,0.320236,0.148308,0.074689
7,22,0.612604,0.303370,0.140507,0.062740
8,18,0.629764,0.287669,0.133185,0.054541
9,27,0.644088,0.273442,0.126627,0.046200
10,24,0.655733,0.258544,0.119904,0.043164
11,25,0.666469,0.243151,0.112848,0.039363
12,22,0.677443,0.233816,0.108527,0.034502
13,25,0.686997,0.228286,0.106077,0.027762
14,26,0.692911,0.218827,0.101558,0.023905
15,28,0.698332,0.211588,0.098445,0.022513
16,30,0.702237,0.202284,0.093947,0.021853
