step,moves,tau,entropy,gini,drift
1,2134,0.275173,0.974518,0.430455,0.363508
2,650,0.440370,0.705338,0.318373,0.236915
3,196,0.529287,0.520388,0.237556,0.152175
4,118,0.583706,0.430346,0.197493,0.097901
5,85,0.611080,0.392840,0.180774,0.068984
6,76,0.627498,0.363914,0.167854,0.054083
7,74,0.639109,0.338734,0.156537,0.047069
8,60,0.647783,0.321210,0.148644,0.040418
9,63,0.654394,0.306509,0.141934,0.037692
10,56,0.660042,0.291693,0.135291,0.036337
11,46,0.665368,0.280581,0.130251,0.033844
12,48,0.670114,0.270143,0.125555,0.033531
