step,moves,tau,entropy,gini,drift
1,3916,0.134138,0.834445,0.376230,0.268689
2,2363,0.322954,0.532975,0.244661,0.217387
3,936,0.450134,0.410406,0.188591,0.157443
4,329,0.527716,0.352893,0.162732,0.113033
5,194,0.565251,0.323833,0.149558,0.092492
6,150,0.591378,0.303482,0.140415,0.073941
7,118,0.611937,0.289136,0.133802,0.062393
8,112,0.628574,0.277880,0.128734,0.053613
9,107,0.642130,0.266655,0.123563,0.048040
10,96,0.654269,0.255130,0.118370,0.043119
11,91,0.665447,0.245311,0.113739,0.037591
12,98,0.675139,0.236783,0.109962,0.033562
