step,moves,tau,entropy,gini,drift
1,7,0.382997,1.214753,0.524865,0.277253
2,2,0.510530,1.100569,0.482058,0.190348
3,0,0.569861,0.971441,0.430794,0.134617
4,0,0.605636,0.875652,0.391476,0.095439
5,0,0.628351,0.838954,0.375514,0.066556
6,0,0.638681,0.814600,0.365732,0.051507
7,0,0.647490,0.785463,0.353940,0.041151
8,0,0.653381,0.779835,0.351871,0.032400
9,0,0.657516,0.768865,0.347508,0.023110
10,0,0.660316,0.758316,0.342728,0.021338
11,0,0.663553,0.752645,0.339329,0.014057
12,0,0.664852,0.739649,0.333166,0.018446
13,0,0.666527,0.735677,0.331810,0.012350
14,0,0.668058,0.719581,0.325527,0.010990
15,0,0.669230,0.712913,0.323064,0.012036
16,0,0.671289,0.713184,0.322998,0.008102
