step,moves,tau,entropy,gini,drift
1,4893,0.144673,0.929873,0.412194,0.312692
2,2097,0.324381,0.650676,0.294569,0.238036
3,582,0.456446,0.522549,0.238238,0.161719
4,153,0.532364,0.462165,0.212132,0.114741
5,59,0.572896,0.439473,0.202346,0.091122
6,32,0.601043,0.419086,0.193237,0.069557
7,19,0.621008,0.398900,0.184209,0.056075
8,20,0.635573,0.383386,0.177297,0.044685
9,12,0.645877,0.372868,0.172431,0.036741
10,5,0.653539,0.362511,0.167652,0.030594
11,4,0.659642,0.356134,0.164863,0.025767
12,2,0.664336,0.347607,0.161054,0.022142
