step,moves,tau,entropy,gini,drift
1,3548,0.250000,1.072234,0.471485,0.000000
2,3878,0.428571,0.704174,0.319886,0.000000
3,3694,0.625000,0.569953,0.252140,0.000000
4,3556,0.714286,0.555149,0.242462,0.000000
5,3490,0.714286,0.485796,0.212756,0.000000
6,3782,0.800000,0.547524,0.238027,0.000000
7,3581,0.714286,0.429828,0.188569,0.000000
8,3831,0.833333,0.525578,0.228119,0.000000
9,3925,0.750000,0.467769,0.204475,0.000000
10,3884,0.800000,0.470915,0.204863,0.000000
11,3905,0.800000,0.460019,0.200505,0.000000
12,3851,0.800000,0.440525,0.192072,0.000000
