step,moves,tau,entropy,gini,drift
1,1524,0.250000,1.055708,0.465189,0.000000
2,1679,0.428571,0.707021,0.320457,0.000000
3,1674,0.625000,0.570937,0.251668,0.000000
4,1624,0.714286,0.566898,0.247730,0.000000
5,1621,0.714286,0.504461,0.219812,0.000000
6,1570,0.750000,0.485061,0.211571,0.000000
7,1713,0.800000,0.511402,0.222160,0.000000
8,1673,0.750000,0.455138,0.198623,0.000000
9,1639,0.800000,0.437038,0.191100,0.000000
10,1734,0.833333,0.497763,0.216272,0.000000
11,1687,0.750000,0.408786,0.179444,0.000000
12,1661,0.833333,0.438192,0.191377,0.000000
13,1666,0.800000,0.411531,0.180584,0.000000
14,1664,0.833333,0.438766,0.191316,0.000000
15,1642,0.800000,0.407558,0.177994,0.000000
16,1673,0.833333,0.437094,0.191110,0.000000
