step,moves,tau,entropy,gini,drift
1,1510,0.250000,1.069215,0.470699,0.000000
2,1696,0.428571,0.700766,0.318223,0.000000
3,1652,0.625000,0.537810,0.238402,0.000000
4,1719,0.750000,0.601403,0.261497,0.000000
5,1748,0.714286,0.522168,0.228772,0.000000
6,1704,0.750000,0.501530,0.218705,0.000000
7,1660,0.750000,0.480371,0.210316,0.000000
8,1588,0.750000,0.432518,0.189028,0.000000
9,1731,0.833333,0.517029,0.224211,0.000000
10,1734,0.750000,0.432058,0.188916,0.000000
11,1732,0.833333,0.494057,0.214060,0.000000
12,1666,0.750000,0.396544,0.173855,0.000000
13,1620,0.833333,0.436139,0.189579,0.000000
14,1746,0.833333,0.465015,0.202318,0.000000
15,1738,0.800000,0.438096,0.190917,0.000000
16,1747,0.833333,0.456874,0.199412,0.000000
