step,moves,tau,entropy,gini,drift
1,3113,0.274939,0.946800,0.420134,0.370900
2,1008,0.446239,0.660518,0.299728,0.241541
3,345,0.539185,0.479112,0.219544,0.153637
4,242,0.593987,0.403395,0.185747,0.097398
5,182,0.620473,0.361175,0.166793,0.070515
6,154,0.636615,0.336946,0.155842,0.056593
7,151,0.647914,0.312382,0.144579,0.049867
8,126,0.656659,0.295011,0.136738,0.045117
9,119,0.663887,0.280536,0.130149,0.041796
10,116,0.669721,0.266023,0.123450,0.040611
11,99,0.675360,0.253164,0.117608,0.039400
12,94,0.680574,0.243629,0.113249,0.038025
