step,moves,tau,entropy,gini,drift
1,1736,0.132067,0.865030,0.389566,0.270105
2,1025,0.315216,0.569062,0.261285,0.220097
3,407,0.440310,0.461114,0.212372,0.159131
4,172,0.517346,0.393884,0.181823,0.116291
5,81,0.559213,0.366055,0.169134,0.091903
6,69,0.587014,0.340225,0.157454,0.072804
7,60,0.605672,0.325855,0.150816,0.062563
8,52,0.621617,0.311497,0.144548,0.052742
9,53,0.634476,0.300842,0.139715,0.047065
10,50,0.644863,0.290356,0.134937,0.042468
11,57,0.654263,0.279778,0.129904,0.040199
12,49,0.663405,0.267735,0.124491,0.036053
13,41,0.670854,0.257042,0.119440,0.032105
14,45,0.678735,0.244088,0.113476,0.028064
15,41,0.685547,0.232540,0.108204,0.025812
16,50,0.692053,0.223905,0.104268,0.023225
