step,moves,tau,entropy,gini,drift
1,334,0.375864,1.045607,0.461949,0.346081
2,65,0.503614,0.810185,0.367222,0.208997
3,33,0.556258,0.635784,0.290755,0.154407
4,34,0.588865,0.524347,0.240414,0.107571
5,35,0.610242,0.461991,0.212456,0.077101
6,32,0.625159,0.421594,0.194505,0.060635
7,30,0.635878,0.392755,0.181401,0.048800
8,37,0.643385,0.362244,0.167980,0.045044
9,21,0.651818,0.346657,0.160969,0.037848
10,17,0.658126,0.333178,0.154723,0.030829
11,14,0.663760,0.320785,0.149166,0.027673
12,11,0.667771,0.307630,0.143062,0.025331
13,11,0.671581,0.298294,0.138868,0.024653
14,12,0.675309,0.288972,0.134569,0.022623
15,8,0.678464,0.279887,0.130280,0.021744
16,19,0.681674,0.271462,0.126377,0.021433
