step,moves,tau,entropy,gini,drift
1,24,0.489447,1.103867,0.483057,0.296744
2,2,0.582051,0.935382,0.415946,0.189916
3,3,0.622021,0.847635,0.378480,0.125232
4,1,0.642821,0.778162,0.348714,0.089915
5,1,0.653956,0.741892,0.333604,0.065141
6,0,0.661290,0.717929,0.323527,0.048159
7,1,0.666060,0.702846,0.316698,0.036754
8,0,0.669412,0.693182,0.312326,0.027987
9,0,0.671770,0.682038,0.307578,0.023898
10,0,0.673530,0.678661,0.305861,0.018259
11,0,0.674815,0.674956,0.304479,0.014277
12,0,0.675953,0.670736,0.302574,0.011167
13,0,0.676746,0.669556,0.302130,0.009046
14,0,0.677436,0.666836,0.300845,0.009100
15,0,0.677849,0.666511,0.300745,0.007990
16,0,0.678181,0.667255,0.301073,0.006760
