step,moves,tau,entropy,gini,drift
1,39,0.298163,1.008623,0.446325,0.325748
2,5,0.448109,0.810704,0.370775,0.197694
3,1,0.517950,0.676194,0.311260,0.130158
4,3,0.558621,0.614811,0.284239,0.105019
5,4,0.585918,0.518614,0.240359,0.077710
6,2,0.607678,0.455076,0.211561,0.068624
7,1,0.623409,0.429076,0.199370,0.052157
8,1,0.636704,0.378754,0.175193,0.049106
9,0,0.645617,0.368885,0.170285,0.042087
10,1,0.653301,0.334362,0.154173,0.041301
11,2,0.659587,0.308148,0.142900,0.042092
12,2,0.665297,0.288133,0.133954,0.041336
13,1,0.672553,0.268788,0.124407,0.036883
14,0,0.676704,0.261731,0.121211,0.033381
15,1,0.680077,0.254529,0.117934,0.027878
16,3,0.685674,0.240638,0.111265,0.035721
