step,moves,tau,entropy,gini,drift
1,93,0.367245,1.101001,0.483009,0.310157
2,9,0.508651,0.927417,0.412967,0.199758
3,1,0.571837,0.797596,0.357799,0.139865
4,0,0.608242,0.717245,0.323215,0.097800
5,3,0.628296,0.666531,0.301405,0.069520
6,0,0.640775,0.637187,0.289117,0.054869
7,0,0.649421,0.613954,0.278487,0.039460
8,0,0.654936,0.601039,0.272534,0.031931
9,0,0.658938,0.589141,0.267277,0.025294
10,0,0.661886,0.574057,0.261079,0.022802
11,0,0.664389,0.567121,0.258021,0.018456
12,0,0.666295,0.563514,0.256440,0.014843
13,0,0.667765,0.557636,0.253854,0.013007
14,0,0.669148,0.552071,0.251401,0.010133
15,0,0.670114,0.545091,0.248535,0.008396
16,0,0.670937,0.543007,0.247608,0.007710
