step,moves,tau,entropy,gini,drift
1,482,0.278710,1.007393,0.445608,0.353969
2,132,0.434721,0.768830,0.347322,0.230988
3,52,0.518487,0.587176,0.267894,0.156741
4,22,0.569213,0.476177,0.218705,0.100748
5,16,0.600288,0.425984,0.196052,0.073513
6,14,0.618041,0.389798,0.179761,0.058027
7,10,0.632627,0.357760,0.165176,0.049062
8,5,0.642689,0.331720,0.153257,0.042316
9,12,0.650946,0.311712,0.144010,0.038259
10,13,0.658813,0.290676,0.134689,0.036777
11,14,0.665044,0.273574,0.127103,0.037297
12,11,0.670451,0.262603,0.121962,0.034966
13,9,0.675187,0.253865,0.117879,0.033805
14,7,0.679533,0.244501,0.113756,0.033375
15,10,0.683838,0.232222,0.108025,0.034276
16,13,0.688974,0.221833,0.103281,0.034571
