step,moves,tau,entropy,gini,drift
1,300,0.149519,0.989078,0.434707,0.304203
2,114,0.321751,0.732607,0.328762,0.231963
3,18,0.451248,0.609890,0.276639,0.153309
4,4,0.524925,0.523698,0.240412,0.111909
5,0,0.567609,0.479070,0.220762,0.088789
6,0,0.596578,0.444659,0.205702,0.069209
7,0,0.616287,0.428721,0.198971,0.053885
8,0,0.629150,0.411648,0.191495,0.043859
9,1,0.640180,0.395023,0.183829,0.038034
10,0,0.648479,0.392102,0.182253,0.032319
11,0,0.655323,0.380434,0.176806,0.027812
12,0,0.660148,0.374986,0.174528,0.024896
13,0,0.664432,0.367396,0.171046,0.019145
14,0,0.667771,0.362897,0.169026,0.018463
15,0,0.670524,0.356709,0.166114,0.016297
16,0,0.673172,0.353796,0.164905,0.014444
