step,moves,tau,entropy,gini,drift
1,67,0.373180,1.087145,0.476324,0.333633
2,17,0.495222,0.830083,0.374541,0.216787
3,17,0.548923,0.619738,0.282852,0.163395
4,11,0.585619,0.501604,0.230138,0.111168
5,10,0.612537,0.417651,0.192369,0.084342
6,9,0.634248,0.349857,0.162101,0.067676
7,6,0.650947,0.315313,0.147159,0.055259
8,7,0.661243,0.284766,0.132880,0.048926
9,3,0.670359,0.265114,0.123914,0.043226
10,5,0.678505,0.247066,0.115947,0.037319
11,9,0.684106,0.229153,0.107599,0.038069
12,6,0.689377,0.216875,0.101488,0.035333
13,4,0.693840,0.206770,0.096576,0.033851
14,4,0.697766,0.198884,0.093022,0.033961
15,5,0.702126,0.185943,0.087086,0.030299
16,8,0.704697,0.173877,0.081651,0.034450
