step,moves,tau,entropy,gini,drift
1,212,0.273734,1.013282,0.447815,0.357807
2,65,0.436356,0.729884,0.330939,0.240030
3,24,0.526084,0.533578,0.245401,0.157672
4,11,0.577348,0.447415,0.206888,0.102119
5,8,0.605086,0.398437,0.184478,0.074230
6,9,0.620216,0.372536,0.172770,0.055263
7,11,0.630790,0.349888,0.162741,0.047287
8,5,0.640098,0.338372,0.157505,0.036557
9,4,0.646041,0.330113,0.153678,0.031942
10,2,0.650166,0.328736,0.153010,0.026745
11,1,0.653892,0.323800,0.151110,0.021425
12,5,0.657468,0.315325,0.147265,0.022973
13,8,0.660532,0.310554,0.144967,0.021550
14,5,0.663605,0.302748,0.141275,0.024418
15,2,0.667435,0.297277,0.138705,0.021135
16,5,0.670169,0.289053,0.134881,0.024335
