step,moves,tau,entropy,gini,drift
1,48,0.490049,1.133840,0.494340,0.295779
2,12,0.581510,0.974760,0.431182,0.189462
3,1,0.619390,0.869391,0.386940,0.126183
4,0,0.640378,0.794647,0.355170,0.091688
5,0,0.653044,0.753262,0.337162,0.066500
6,0,0.660779,0.724541,0.324614,0.049077
7,0,0.666000,0.702657,0.314968,0.037389
8,0,0.669536,0.693630,0.311153,0.028633
9,1,0.672027,0.684998,0.307332,0.022802
10,0,0.673788,0.675092,0.302932,0.018871
11,0,0.675190,0.667958,0.299764,0.016504
12,0,0.676212,0.665237,0.298605,0.011292
13,0,0.676885,0.663016,0.297574,0.009079
14,0,0.677497,0.661066,0.296698,0.008407
15,0,0.678036,0.658192,0.295587,0.007095
16,0,0.678480,0.656005,0.294674,0.005704
