step,moves,tau,entropy,gini,drift
1,443,0.276170,0.996671,0.440653,0.352667
2,123,0.438915,0.752009,0.339885,0.228206
3,44,0.521614,0.579078,0.263683,0.148444
4,23,0.570643,0.477461,0.218567,0.096820
5,24,0.596807,0.428426,0.196853,0.069386
6,14,0.612512,0.403602,0.185846,0.054752
7,11,0.625265,0.383710,0.177054,0.044533
8,7,0.634251,0.364715,0.168636,0.037696
9,7,0.640821,0.346540,0.160516,0.033726
10,9,0.646251,0.336935,0.156011,0.031021
11,9,0.651559,0.322543,0.149456,0.029217
12,6,0.656420,0.312322,0.144769,0.028296
13,14,0.660625,0.296879,0.137522,0.029478
14,7,0.665000,0.287379,0.133476,0.029044
15,5,0.669641,0.274613,0.127733,0.027819
16,6,0.673275,0.267211,0.124488,0.028848
