step,moves,tau,entropy,gini,drift
1,810,0.373669,1.059125,0.465648,0.350503
2,194,0.503511,0.804795,0.363046,0.214615
3,102,0.557340,0.609127,0.277803,0.158739
4,99,0.592678,0.487189,0.223167,0.111549
5,82,0.616973,0.420250,0.193177,0.078616
6,64,0.633174,0.383430,0.176813,0.060015
7,71,0.644504,0.356633,0.164886,0.049534
8,71,0.652880,0.334300,0.154758,0.043500
9,58,0.660016,0.314684,0.145867,0.038222
10,46,0.666798,0.298503,0.138457,0.033189
11,44,0.671869,0.286246,0.132940,0.030046
12,38,0.676460,0.274989,0.127855,0.028384
