step,moves,tau,entropy,gini,drift
1,754,0.155621,0.913126,0.405140,0.309973
2,281,0.336253,0.654766,0.296599,0.230468
3,77,0.467603,0.533496,0.243700,0.151816
4,7,0.536439,0.475062,0.218167,0.110748
5,1,0.577020,0.450157,0.207391,0.082866
6,0,0.602351,0.431388,0.199351,0.066096
7,2,0.621022,0.418350,0.193539,0.052267
8,3,0.634764,0.408404,0.188962,0.042349
9,3,0.643876,0.397155,0.183984,0.034689
10,0,0.651318,0.387531,0.179812,0.029145
11,0,0.657316,0.383021,0.177652,0.024171
12,0,0.661398,0.377988,0.175275,0.021312
13,2,0.664940,0.372950,0.173269,0.017709
14,0,0.668230,0.368587,0.171400,0.015913
15,1,0.670553,0.363763,0.169441,0.014005
16,0,0.672804,0.361790,0.168274,0.013681
