step,moves,tau,entropy,gini,drift
1,12,0.378674,1.186666,0.517215,0.296898
2,1,0.484889,1.005108,0.451492,0.201907
3,2,0.537435,0.867844,0.392275,0.145452
4,1,0.560792,0.758208,0.345184,0.110145
5,2,0.578332,0.665896,0.306420,0.097258
6,1,0.597099,0.610916,0.282528,0.072357
7,2,0.605871,0.562659,0.261087,0.056946
8,0,0.614114,0.518345,0.240836,0.045156
9,1,0.620705,0.481222,0.224075,0.043283
10,1,0.627978,0.424483,0.196982,0.043966
11,1,0.635277,0.373334,0.173684,0.036946
12,3,0.642785,0.313055,0.146184,0.042402
13,0,0.656330,0.307282,0.143412,0.029938
14,2,0.660380,0.278213,0.130275,0.030216
15,0,0.665791,0.275478,0.129073,0.023464
16,1,0.670137,0.263302,0.123732,0.024812
