step,moves,tau,entropy,gini,drift
1,4853,0.146377,0.921426,0.408066,0.313172
2,2061,0.326642,0.641099,0.289840,0.236533
3,590,0.458869,0.504885,0.230173,0.160535
4,161,0.534389,0.447552,0.205521,0.113966
5,70,0.573927,0.420164,0.193636,0.090186
6,37,0.601691,0.400288,0.184979,0.069978
7,19,0.621263,0.384472,0.177889,0.055300
8,4,0.635744,0.373427,0.172977,0.044608
9,4,0.646164,0.360602,0.167214,0.035784
10,6,0.653800,0.352387,0.163518,0.030139
11,1,0.659573,0.344875,0.160174,0.025505
12,2,0.664364,0.340009,0.157997,0.021614
