step,moves,tau,entropy,gini,drift
1,96,0.133590,1.007440,0.450924,0.261645
2,44,0.272612,0.820480,0.370807,0.212663
3,15,0.381652,0.634231,0.289219,0.163045
4,4,0.474366,0.530429,0.245157,0.110293
5,2,0.517835,0.490194,0.227091,0.085513
6,0,0.548625,0.453271,0.210190,0.062178
7,0,0.566564,0.436382,0.202578,0.050109
8,0,0.577667,0.432026,0.200341,0.045993
9,0,0.590591,0.423046,0.196807,0.035501
10,1,0.595314,0.417653,0.194276,0.037236
11,1,0.606206,0.410779,0.190860,0.028004
12,1,0.610801,0.405035,0.188067,0.027533
13,0,0.615165,0.390524,0.181652,0.026650
14,0,0.619802,0.377314,0.176576,0.024317
15,0,0.627256,0.368569,0.172765,0.024215
16,1,0.630740,0.361187,0.169356,0.023269
