step,moves,tau,entropy,gini,drift
1,2445,0.146078,0.905072,0.401866,0.319201
2,975,0.331459,0.639507,0.288860,0.232564
3,275,0.463220,0.501712,0.228889,0.158992
4,55,0.537326,0.448593,0.206121,0.111954
5,18,0.576354,0.424124,0.195356,0.089449
6,4,0.604159,0.397712,0.183701,0.068293
7,2,0.623661,0.383502,0.177330,0.055338
8,1,0.637820,0.366973,0.169998,0.045060
9,2,0.648426,0.357317,0.165682,0.035590
10,2,0.656316,0.348865,0.161838,0.030282
11,2,0.662228,0.341985,0.158796,0.025893
12,1,0.666944,0.336603,0.156385,0.021340
13,2,0.670606,0.331347,0.154074,0.018166
14,0,0.673482,0.327806,0.152365,0.015701
15,0,0.675804,0.325671,0.151461,0.013975
16,0,0.677792,0.323953,0.150622,0.012297
