step,moves,tau,entropy,gini,drift
1,336,0.376793,1.049940,0.462164,0.348804
2,72,0.506286,0.769641,0.348071,0.221031
3,44,0.563514,0.563722,0.258547,0.159820
4,38,0.600949,0.458000,0.210592,0.104616
5,36,0.624822,0.402846,0.185639,0.072314
6,34,0.638780,0.366426,0.169497,0.057737
7,25,0.649891,0.332962,0.154306,0.048780
8,21,0.659792,0.312952,0.145224,0.039167
9,25,0.666328,0.297701,0.138259,0.036239
10,20,0.672119,0.281035,0.130462,0.033381
11,15,0.678024,0.269733,0.125380,0.030557
12,17,0.681902,0.255449,0.118854,0.029582
13,16,0.686301,0.245466,0.114247,0.029575
14,23,0.689769,0.233138,0.108727,0.031714
15,18,0.693658,0.223192,0.104363,0.030113
16,16,0.697226,0.214821,0.100407,0.030186
