step,moves,tau,entropy,gini,drift
1,1448,0.275312,0.954038,0.422704,0.365091
2,445,0.446440,0.680414,0.308374,0.234339
3,151,0.535734,0.502611,0.229967,0.152052
4,98,0.590349,0.413010,0.189846,0.097235
5,68,0.618912,0.370069,0.170555,0.069742
6,66,0.635345,0.343517,0.158493,0.055135
7,56,0.646079,0.318263,0.147162,0.048297
8,50,0.655135,0.299224,0.138592,0.044358
9,38,0.662064,0.285281,0.132301,0.041085
10,25,0.668436,0.273824,0.127007,0.037472
11,29,0.673873,0.260996,0.121339,0.036922
12,36,0.678789,0.251027,0.116745,0.037106
13,33,0.683663,0.241110,0.112217,0.036941
14,32,0.688366,0.230257,0.107162,0.033870
15,36,0.692551,0.219633,0.102190,0.034575
16,26,0.696517,0.210507,0.098115,0.034552
