step,moves,tau,entropy,gini,drift
1,4829,0.147538,0.917005,0.406475,0.314409
2,2099,0.329637,0.630239,0.284847,0.237447
3,598,0.463333,0.491916,0.224355,0.160255
4,134,0.537632,0.430510,0.197750,0.113619
5,55,0.577388,0.402597,0.185479,0.090615
6,27,0.605070,0.383664,0.177133,0.069455
7,8,0.624635,0.369098,0.170502,0.055851
8,3,0.639165,0.356289,0.164743,0.044142
9,2,0.649781,0.347579,0.160859,0.035849
10,1,0.657167,0.340092,0.157558,0.029616
11,3,0.662803,0.331670,0.153736,0.024636
12,0,0.667154,0.327526,0.151910,0.020844
