step,moves,tau,entropy,gini,drift
1,120,0.482083,1.145292,0.497713,0.304963
2,15,0.578109,0.974067,0.430284,0.193947
3,6,0.618245,0.867934,0.386523,0.128558
4,0,0.640377,0.805561,0.360026,0.089967
5,2,0.652659,0.771259,0.345118,0.064244
6,1,0.660085,0.748214,0.334990,0.047582
7,0,0.664817,0.731259,0.327623,0.035864
8,0,0.667987,0.719013,0.322190,0.027818
9,0,0.670378,0.709651,0.318279,0.022138
10,0,0.672101,0.703987,0.315948,0.017757
11,0,0.673419,0.699698,0.314159,0.014848
12,0,0.674443,0.695110,0.312225,0.012330
