step,moves,tau,entropy,gini,drift
1,1720,0.130228,0.843222,0.378736,0.270651
2,1107,0.319280,0.522396,0.239436,0.218828
3,463,0.451498,0.389759,0.178334,0.160109
4,185,0.529106,0.319904,0.147215,0.121357
5,114,0.569775,0.283408,0.130790,0.101020
6,74,0.600104,0.263459,0.121706,0.080592
7,69,0.623310,0.247995,0.114714,0.069730
8,65,0.642545,0.235336,0.108696,0.059695
9,67,0.658938,0.219429,0.101543,0.053225
10,65,0.674910,0.207620,0.096200,0.046348
11,44,0.688665,0.196291,0.091206,0.035255
12,44,0.697658,0.188423,0.087682,0.029078
13,43,0.703279,0.183234,0.085312,0.026281
14,38,0.707367,0.177084,0.082537,0.024078
15,37,0.710272,0.174233,0.081048,0.022233
16,34,0.713179,0.167957,0.078293,0.020880
