step,moves,tau,entropy,gini,drift
1,971,0.137540,0.833742,0.375042,0.272245
2,554,0.323910,0.553999,0.254061,0.213138
3,199,0.442986,0.429826,0.197376,0.158376
4,63,0.522309,0.373228,0.172303,0.113633
5,39,0.563367,0.341384,0.158260,0.089171
6,17,0.589044,0.322704,0.149757,0.073703
7,19,0.609577,0.307546,0.142709,0.059444
8,13,0.626119,0.299831,0.139107,0.048352
9,13,0.637873,0.291530,0.135546,0.042126
10,11,0.648682,0.285098,0.132425,0.036801
11,16,0.657045,0.273817,0.127288,0.033607
12,15,0.664682,0.261299,0.121364,0.030733
13,15,0.672470,0.251653,0.117031,0.028670
14,13,0.678652,0.241293,0.112199,0.024939
15,11,0.686020,0.236940,0.110430,0.021025
16,12,0.691210,0.232805,0.108548,0.018359
