step,moves,tau,entropy,gini,drift
1,4712,0.250000,1.068766,0.471277,0.000000
2,5070,0.428571,0.708817,0.321912,0.000000
3,5065,0.625000,0.577230,0.254918,0.000000
4,4913,0.714286,0.565048,0.246827,0.000000
5,4890,0.714286,0.502898,0.220172,0.000000
6,4912,0.750000,0.501530,0.218644,0.000000
7,4896,0.750000,0.460229,0.201130,0.000000
8,5044,0.800000,0.487998,0.212182,0.000000
9,4882,0.750000,0.423901,0.185826,0.000000
10,5155,0.833333,0.492274,0.214228,0.000000
11,4981,0.750000,0.407932,0.179070,0.000000
12,5065,0.833333,0.468078,0.203574,0.000000
