step,moves,tau,entropy,gini,drift
1,64,0.177038,0.922089,0.408449,0.318085
2,16,0.360420,0.745748,0.332100,0.200177
3,1,0.472855,0.586659,0.266630,0.136376
4,0,0.529537,0.524697,0.239268,0.107304
5,0,0.573765,0.498314,0.228219,0.083158
6,1,0.598537,0.470398,0.216548,0.070145
7,0,0.618922,0.438307,0.201161,0.053045
8,0,0.632506,0.396603,0.182987,0.044785
9,0,0.642847,0.382560,0.177730,0.033466
10,0,0.650137,0.383339,0.178196,0.031092
11,0,0.656356,0.371317,0.172633,0.028596
12,0,0.660765,0.370407,0.172580,0.025827
13,0,0.665238,0.359389,0.166616,0.021959
14,0,0.668871,0.356349,0.164341,0.016813
15,0,0.671841,0.342442,0.158597,0.014432
16,0,0.673493,0.339300,0.156959,0.014043
