step,moves,tau,entropy,gini,drift
1,2447,0.250000,1.067135,0.470085,0.000000
2,2662,0.428571,0.693881,0.314980,0.000000
3,2555,0.625000,0.548782,0.242833,0.000000
4,2361,0.714286,0.531037,0.232182,0.000000
5,2603,0.750000,0.554176,0.241653,0.000000
6,2475,0.714286,0.456145,0.200184,0.000000
7,2508,0.800000,0.495678,0.215572,0.000000
8,2462,0.750000,0.426888,0.187236,0.000000
9,2658,0.833333,0.504927,0.219618,0.000000
10,2588,0.750000,0.412889,0.181413,0.000000
11,2607,0.833333,0.470345,0.204584,0.000000
12,2437,0.750000,0.370535,0.163333,0.000000
13,2678,0.857143,0.500306,0.216963,0.000000
14,2641,0.750000,0.387377,0.170236,0.000000
15,2500,0.833333,0.428699,0.186485,0.000000
16,2683,0.833333,0.449363,0.196693,0.000000
