step,moves,tau,entropy,gini,drift
1,476,0.280886,0.966488,0.429693,0.355534
2,126,0.442707,0.730895,0.332877,0.224659
3,35,0.526294,0.563262,0.259014,0.146951
4,20,0.577880,0.474140,0.218130,0.095735
5,17,0.604001,0.426464,0.196591,0.067928
6,13,0.621090,0.392327,0.180742,0.054200
7,16,0.633668,0.366349,0.169057,0.045649
8,15,0.642618,0.336039,0.155154,0.040801
9,11,0.650536,0.323085,0.149218,0.036071
10,8,0.656835,0.313947,0.145095,0.032584
11,5,0.661763,0.299550,0.138769,0.031705
12,7,0.666388,0.291710,0.135330,0.029081
13,14,0.670187,0.279682,0.129759,0.030234
14,6,0.674943,0.271276,0.125932,0.028921
15,7,0.678320,0.265959,0.123480,0.028566
16,9,0.681572,0.256943,0.119442,0.028339
