step,moves,tau,entropy,gini,drift
1,100,0.250000,1.015877,0.445603,0.000000
2,93,0.400000,0.729063,0.328061,0.000000
3,99,0.600000,0.413826,0.187792,0.000000
4,100,0.800000,0.595861,0.263300,0.000000
5,95,0.666667,0.338576,0.152478,0.000000
6,102,0.857143,0.553759,0.242118,0.000000
7,88,0.666667,0.306732,0.139262,0.000000
8,104,0.875000,0.530687,0.232847,0.000000
9,92,0.666667,0.195625,0.088170,0.000000
10,70,1.000000,0.294824,0.131704,0.000000
11,101,1.000000,0.530329,0.234173,0.000000
12,104,0.714286,0.398160,0.175451,0.000000
13,95,0.800000,0.395291,0.176114,0.000000
14,101,0.800000,0.426531,0.188252,0.000000
15,101,0.800000,0.344769,0.154345,0.000000
16,103,0.857143,0.455108,0.199533,0.000000
