step,moves,tau,entropy,gini,drift
1,57,0.167516,1.017098,0.446623,0.283172
2,16,0.335969,0.812717,0.363123,0.204759
3,2,0.456126,0.659971,0.297809,0.148035
4,0,0.529553,0.585595,0.266917,0.111666
5,0,0.566595,0.556387,0.256592,0.085345
6,0,0.596925,0.528364,0.243228,0.063326
7,0,0.614579,0.504507,0.232213,0.057278
8,0,0.628196,0.483845,0.222712,0.044597
9,0,0.637262,0.462705,0.213847,0.036978
10,0,0.647545,0.441673,0.204406,0.032676
11,0,0.652505,0.425276,0.197014,0.027964
12,0,0.658686,0.417446,0.193302,0.024063
13,0,0.662229,0.411274,0.190801,0.018105
14,0,0.664360,0.400068,0.185669,0.018000
15,0,0.667112,0.382166,0.177486,0.016346
16,0,0.669260,0.382166,0.177486,0.014525
