step,moves,tau,entropy,gini,drift
1,33,0.484030,1.143636,0.497547,0.294692
2,14,0.576401,0.960311,0.424650,0.196984
3,3,0.618078,0.860410,0.383394,0.125009
4,1,0.640422,0.800768,0.357841,0.089619
5,1,0.652360,0.761949,0.341075,0.064452
6,0,0.659590,0.739864,0.331306,0.046717
7,1,0.664419,0.724431,0.324847,0.034096
8,0,0.667420,0.714577,0.320653,0.024553
9,0,0.669347,0.709939,0.318417,0.019814
10,0,0.670886,0.705874,0.316897,0.016368
11,0,0.672064,0.701943,0.315013,0.012958
12,1,0.672921,0.698997,0.313681,0.010752
13,0,0.673678,0.695533,0.312182,0.009434
14,0,0.674300,0.693357,0.311186,0.008371
15,0,0.674837,0.688176,0.308876,0.008588
16,0,0.675239,0.687429,0.308580,0.006989
