step,moves,tau,entropy,gini,drift
1,79,0.389404,1.013143,0.446233,0.333722
2,24,0.508879,0.733918,0.331243,0.217297
3,15,0.562926,0.540846,0.247254,0.155840
4,12,0.600893,0.455362,0.209126,0.101844
5,9,0.621482,0.399198,0.184234,0.076138
6,6,0.638303,0.364819,0.168196,0.057019
7,6,0.648986,0.345987,0.159583,0.044808
8,8,0.658232,0.325370,0.150437,0.038463
9,3,0.664944,0.304050,0.140569,0.034170
10,5,0.671588,0.276936,0.128335,0.035971
11,3,0.677213,0.267473,0.123843,0.032663
12,2,0.682763,0.249329,0.115737,0.031538
13,5,0.687483,0.234829,0.108986,0.031578
14,6,0.692097,0.223785,0.103785,0.030981
15,4,0.695301,0.208052,0.096795,0.031324
16,8,0.699253,0.196262,0.091399,0.032587
