step,moves,tau,entropy,gini,drift
1,2240,0.273492,0.948203,0.421051,0.369478
2,704,0.450081,0.661147,0.299739,0.239469
3,246,0.539859,0.475438,0.217795,0.152209
4,151,0.594570,0.398670,0.183574,0.095461
5,111,0.621238,0.361499,0.166748,0.068745
6,84,0.637102,0.335900,0.155301,0.054261
7,86,0.647767,0.314607,0.145554,0.047727
8,92,0.655962,0.297001,0.137530,0.044433
9,85,0.663344,0.283338,0.131297,0.041040
10,68,0.669346,0.270330,0.125458,0.039639
11,60,0.674611,0.258447,0.119948,0.037714
12,64,0.679387,0.246721,0.114782,0.037883
