step,moves,tau,entropy,gini,drift
1,1554,0.250000,1.064741,0.468422,0.000000
2,1703,0.428571,0.678484,0.308403,0.000000
3,1636,0.625000,0.512940,0.227449,0.000000
4,1566,0.750000,0.546388,0.237334,0.000000
5,1723,0.750000,0.535723,0.233238,0.000000
6,1542,0.714286,0.401714,0.176840,0.000000
7,1597,0.833333,0.493853,0.214572,0.000000
8,1603,0.750000,0.409258,0.179636,0.000000
9,1619,0.833333,0.457725,0.199240,0.000000
10,1690,0.800000,0.444771,0.194055,0.000000
11,1651,0.800000,0.404402,0.176936,0.000000
12,1644,0.833333,0.429476,0.187951,0.000000
13,1630,0.800000,0.402863,0.176191,0.000000
14,1609,0.833333,0.416233,0.182175,0.000000
15,1714,0.833333,0.440965,0.191867,0.000000
16,1666,0.800000,0.397385,0.174299,0.000000
