step,moves,tau,entropy,gini,drift
1,1532,0.250000,1.080317,0.475019,0.000000
2,1748,0.428571,0.698662,0.316033,0.000000
3,1659,0.625000,0.561677,0.247927,0.000000
4,1551,0.714286,0.538625,0.234642,0.000000
5,1677,0.750000,0.547868,0.239501,0.000000
6,1563,0.714286,0.439859,0.193031,0.000000
7,1709,0.833333,0.566781,0.244789,0.000000
8,1664,0.714286,0.427047,0.187577,0.000000
9,1704,0.833333,0.524242,0.227630,0.000000
10,1741,0.750000,0.453745,0.197788,0.000000
11,1665,0.800000,0.437403,0.190702,0.000000
12,1743,0.833333,0.485056,0.210409,0.000000
13,1643,0.750000,0.397904,0.175329,0.000000
14,1618,0.833333,0.447505,0.195235,0.000000
15,1676,0.800000,0.444959,0.194271,0.000000
16,1657,0.800000,0.434036,0.189323,0.000000
