step,moves,tau,entropy,gini,drift
1,95,0.139295,0.906372,0.406556,0.265578
2,61,0.299097,0.590392,0.265884,0.222083
3,31,0.434894,0.441294,0.196501,0.158698
4,11,0.520196,0.336130,0.150550,0.116229
5,4,0.563980,0.256486,0.116312,0.096457
6,1,0.592224,0.249536,0.113727,0.082081
7,2,0.615467,0.223029,0.101667,0.070202
8,1,0.635781,0.205808,0.094801,0.060550
9,1,0.652231,0.191001,0.088055,0.054026
10,1,0.668613,0.186071,0.085820,0.049215
11,3,0.688574,0.173543,0.080075,0.041950
12,1,0.701565,0.170997,0.078922,0.030154
13,0,0.708661,0.169534,0.078074,0.025626
14,0,0.712388,0.169534,0.078074,0.024244
15,0,0.716454,0.169534,0.078074,0.020876
16,0,0.718624,0.169534,0.078074,0.017294
